T_0185
BeatCount Mean SD BeatCountNoOutliers MeanNoOutliers SDNoOutliers
1776 856,805743243243 76,7642154800281 1763 856,496313102666 73,0193540497587

Trial TrialStatus Trialtype IBI AbsPosition RelPosition Outlier
0 0 0 849 1769 -14009 0
0 0 0 870 2639 -13139 0
0 0 0 826 3465 -12313 0
0 0 0 843 4308 -11470 0
0 0 0 885 5193 -10585 0
0 0 0 854 6047 -9731 0
0 0 0 797 6844 -8934 0
0 0 0 799 7643 -8135 0
0 0 0 786 8429 -7349 0
0 0 0 818 9247 -6531 0
0 0 0 878 10125 -5653 0
0 0 0 867 10992 -4786 0
0 0 0 864 11856 -3922 0
0 0 0 874 12730 -3048 0
0 0 0 847 13577 -2201 0
1 1 S112 846 14423 -1355 0
1 1 S112 809 15232 -546 0
1 2 S112 753 15985 207 0
1 2 S112 751 16736 958 0
1 2 S112 757 17493 1715 0
1 2 S112 786 18279 2501 0
1 2 S112 852 19131 3353 0
1 2 S112 889 20020 4242 0
1 2 S112 935 20955 5177 0
1 2 S112 930 21885 6107 0
1 2 S112 912 22797 7019 0
0 0 0 890 23687 -11620 0
0 0 0 844 24531 -10776 0
0 0 0 808 25339 -9968 0
0 0 0 804 26143 -9164 0
0 0 0 777 26920 -8387 0
0 0 0 770 27690 -7617 0
0 0 0 758 28448 -6859 0
0 0 0 782 29230 -6077 0
0 0 0 802 30032 -5275 0
0 0 0 847 30879 -4428 0
0 0 0 891 31770 -3537 0
0 0 0 841 32611 -2696 0
2 1 S102 816 33427 -1880 0
2 1 S102 825 34252 -1055 0
2 1 S102 847 35099 -208 0
2 2 S102 875 35974 667 0
2 2 S102 851 36825 1518 0
2 2 S102 780 37605 2298 0
2 2 S102 760 38365 3058 0
2 2 S102 753 39118 3811 0
2 2 S102 830 39948 4641 0
2 2 S102 927 40875 5568 0
2 2 S102 907 41782 6475 0
0 0 0 889 42671 -8270 0
0 0 0 949 43620 -7321 0
0 0 0 939 44559 -6382 0
0 0 0 901 45460 -5481 0
0 0 0 845 46305 -4636 0
0 0 0 896 47201 -3740 0
0 0 0 902 48103 -2838 0
3 1 S116 905 49008 -1933 0
3 1 S116 854 49862 -1079 0
3 1 S116 859 50721 -220 0
3 2 S116 857 51578 637 0
3 2 S116 885 52463 1522 0
3 2 S116 880 53343 2402 0
3 2 S116 856 54199 3258 0
3 2 S116 855 55054 4113 0
3 2 S116 849 55903 4962 0
3 2 S116 857 56760 5819 0
3 2 S116 839 57599 6658 0
0 0 0 809 58408 -10802 0
0 0 0 803 59211 -9999 0
0 0 0 809 60020 -9190 0
0 0 0 807 60827 -8383 0
0 0 0 797 61624 -7586 0
0 0 0 793 62417 -6793 0
0 0 0 834 63251 -5959 0
0 0 0 872 64123 -5087 0
0 0 0 875 64998 -4212 0
0 0 0 821 65819 -3391 0
0 0 0 830 66649 -2561 0
4 1 S106 819 67468 -1742 0
4 1 S106 832 68300 -910 0
4 1 S106 824 69124 -86 0
4 2 S106 786 69910 700 0
4 2 S106 801 70711 1501 0
4 2 S106 835 71546 2336 0
4 2 S106 922 72468 3258 0
4 2 S106 921 73389 4179 0
4 2 S106 877 74266 5056 0
4 2 S106 937 75203 5993 0
4 2 S106 960 76163 6953 0
0 0 0 946 77109 -6972 0
0 0 0 877 77986 -6095 0
0 0 0 916 78902 -5179 0
0 0 0 887 79789 -4292 0
0 0 0 865 80654 -3427 0
0 0 0 823 81477 -2604 0
5 1 S116 842 82319 -1762 0
5 1 S116 831 83150 -931 0
5 1 S116 845 83995 -86 0
5 2 S116 819 84814 733 0
5 2 S116 793 85607 1526 0
5 2 S116 873 86480 2399 0
5 2 S116 872 87352 3271 0
5 2 S116 802 88154 4073 0
5 2 S116 844 88998 4917 0
5 2 S116 844 89842 5761 0
5 2 S116 854 90696 6615 0
0 0 0 869 91565 -9343 0
0 0 0 838 92403 -8505 0
0 0 0 830 93233 -7675 0
0 0 0 880 94113 -6795 0
0 0 0 902 95015 -5893 0
0 0 0 959 95974 -4934 0
0 0 0 869 96843 -4065 0
0 0 0 952 97795 -3113 0
0 0 0 974 98769 -2139 0
6 1 S106 986 99755 -1153 0
6 1 S106 933 100688 -220 0
6 2 S106 852 101540 632 0
6 2 S106 876 102416 1508 0
6 2 S106 827 103243 2335 0
6 2 S106 793 104036 3128 0
